"id","doc"
1,"{""name"": ""Brisket"", ""type"": ""main"", ""price"": 12.99, ""vegetarian"": false}"
2,"{""name"": ""Pulled Pork"", ""type"": ""main"", ""price"": 11.99, ""vegetarian"": false}"
3,"{""name"": ""Smoked Pork Belly Ramen"", ""type"": ""main"", ""price"": 13.99, ""vegetarian"": false}"
4,"{""name"": ""Famous Ribs"", ""type"": ""main"", ""price"": 10.99, ""vegetarian"": false}"
5,"{""name"": ""BBQ Chicken"", ""type"": ""main"", ""price"": 10.99, ""vegetarian"": false}"
6,"{""name"": ""Portabella Shrooms"", ""type"": ""main"", ""price"": 8.99, ""vegetarian"": true}"
7,"{""name"": ""Fried Pickles"", ""type"": ""side"", ""price"": 1.99, ""vegetarian"": true}"
8,"{""name"": ""Grilled Cauliflower Steaks"", ""type"": ""main"", ""price"": 8.99, ""vegetarian"": true}"
9,"{""name"": ""Cornbread"", ""type"": ""side"", ""price"": 0, ""vegetarian"": true}"
10,"{""name"": ""French Fries"", ""type"": ""side"", ""price"": 0, ""vegetarian"": true}"
11,"{""name"": ""Corn Pudding"", ""type"": ""side"", ""price"": 1.99, ""vegetarian"": true}"
12,"{""name"": ""Coleslaw"", ""type"": ""side"", ""price"": 0, ""vegetarian"": true}"
13,"{""name"": ""Brussel Sprouts"", ""type"": ""side"", ""price"": 2.99, ""vegetarian"": false}"
14,"{""name"": ""Baked Beans"", ""type"": ""side"", ""price"": 0, ""vegetarian"": true}"
15,"{""name"": ""Applesauce"", ""type"": ""side"", ""price"": 0, ""vegetarian"": true}"
16,"{""name"": ""Cola"", ""type"": ""drink"", ""price"": 0.99, ""vegetarian"": true}"
17,"{""name"": ""Diet"", ""type"": ""drink"", ""price"": 0.99, ""vegetarian"": true}"
18,"{""name"": ""Unsweet Tea"", ""type"": ""drink"", ""price"": 0.99, ""vegetarian"": true}"
19,"{""name"": ""Sweet Tea"", ""type"": ""drink"", ""price"": 0.99, ""vegetarian"": true}"
20,"{""name"": ""Porx Special"", ""type"": ""drink"", ""price"": 1.99, ""vegetarian"": true}"
21,"{""name"": ""Impossible Ribs"", ""type"": ""main"", ""price"": 10.99, ""vegetarian"": true}"
22,"{""name"": ""Brisket Tacos"", ""type"": ""main"", ""price"": 9.99, ""vegetarian"": false}"
